12:57:18.153 >> td
12:57:18.203 trigger debug on
12:57:18.506 >> v
12:57:19.027 a=2239837,b=2240466
12:57:19.027 a=2242085,b=2240466
12:57:19.027 a=2242429,b=2242085
12:57:19.027 a=2240975,b=2242085
12:57:19.027 a=2241792,b=2241792
12:57:19.027 a=2242298,b=2241792
12:57:19.027 a=2241041,b=2241792
12:57:19.027 a=2239672,b=2241041
12:57:19.027 a=2240234,b=2240234
12:57:19.027 a=2243915,b=2240234
12:57:19.027 a=2243466,b=2243466
12:57:19.027 a=2245387,b=2243915
12:57:19.028 a=2242357,b=2243466
12:57:19.028 a=2240696,b=2242357
12:57:19.028 a=2240605,b=2240696
12:57:19.028 a=2236027,b=2240605
12:57:19.028 a=2235894,b=2236027
12:57:19.028 a=2238783,b=2236027
12:57:19.028 a=2241303,b=2238783
12:57:19.028 a=2242173,b=2241303
12:57:19.028 a=2242932,b=2242173
12:57:19.028 a=2245378,b=2242932
12:57:19.028 a=2245346,b=2245346
12:57:19.028 a=2245937,b=2245378
12:57:19.028 a=2240839,b=2245346
12:57:19.028 a=2240882,b=2240882
12:57:19.028 a=2243615,b=2240882
12:57:19.078 a=2245848,b=2243615
12:57:19.078 a=2243725,b=2243725
12:57:19.078 a=2241814,b=2243725
12:57:19.078 a=2239536,b=2241814
12:57:19.078 a=2240271,b=2240271
12:57:19.078 a=2242614,b=2240271
12:57:19.078 a=2241610,b=2241610
12:57:19.078 a=2239652,b=2241610
12:57:19.078 a=2240882,b=2240882
12:57:19.078 a=2242730,b=2240882
12:57:19.078 a=2242623,b=2242623
12:57:19.078 a=2245379,b=2242730
