12:26:09.037 >> td
12:26:09.091 trigger debug on
12:26:09.447 >> v
12:26:09.927 a=2237113,b=2236997
12:26:09.927 a=2242010,b=2237113
12:26:09.927 a=2240285,b=2240285
12:26:09.927 a=2236954,b=2240285
12:26:09.927 a=2239319,b=2239319
12:26:09.927 a=2238902,b=2238902
12:26:09.927 a=2238603,b=2238902
12:26:09.927 a=2241646,b=2238902
12:26:09.927 a=2242433,b=2241646
12:26:09.928 a=2243164,b=2242433
12:26:09.928 a=2244445,b=2243164
12:26:09.928 a=2238657,b=2243164
12:26:09.928 a=2233857,b=2238657
12:26:09.928 a=2235081,b=2235081
12:26:09.928 a=2238099,b=2235081
12:26:09.928 a=2242523,b=2238099
12:26:09.928 a=2240683,b=2240683
12:26:09.928 a=2242580,b=2242523
12:26:09.928 a=2243649,b=2242580
12:26:09.928 a=2244203,b=2243649
12:26:09.928 a=2244113,b=2244113
12:26:09.928 a=2243412,b=2244113
12:26:09.928 a=2240196,b=2243412
12:26:09.928 a=2239146,b=2240196
12:26:09.928 a=2239872,b=2239872
12:26:09.928 a=2241076,b=2239872
12:26:09.928 a=2239694,b=2239872
12:26:09.928 a=2239181,b=2239694
12:26:09.928 a=2238837,b=2239181
12:26:09.928 a=2240443,b=2239181
12:26:09.928 a=2240217,b=2240217
12:26:09.928 a=2240127,b=2240217
12:26:09.928 a=2239995,b=2240127
12:26:09.928 a=2241431,b=2240127
12:26:09.928 a=2240167,b=2240167
12:26:09.928 a=2233967,b=2240167
12:26:09.978 a=2234161,b=2234161
12:26:09.978 a=2237041,b=2234161
12:26:09.979 a=2240382,b=2237041
12:26:09.979 a=2241057,b=2240382
12:26:09.979 a=2240760,b=2240760
12:26:09.979 a=2240458,b=2240760
12:26:09.979 a=2239061,b=2240458
12:26:09.979 a=2242232,b=2240458
12:26:09.979 a=2243570,b=2242232
12:26:09.979 a=2239293,b=2242232
12:26:09.979 a=2239272,b=2239293
12:26:09.979 a=2240186,b=2239293
12:26:09.979 a=2239802,b=2239802
12:26:09.980 a=2243092,b=2240186
12:26:09.980 a=2247651,b=2243092
12:26:09.980 a=2244069,b=2244069
12:26:09.980 a=2239307,b=2244069
12:26:09.980 a=2242517,b=2242517
12:26:09.980 a=2244664,b=2242517
12:26:09.980 a=2241192,b=2242517
12:26:09.980 a=2242983,b=2242983
12:26:09.980 a=2241829,b=2241829
12:26:09.980 a=2240917,b=2241829
12:26:09.980 a=2241726,b=2241726
12:26:09.980 a=2241861,b=2241726
12:26:09.980 a=2241522,b=2241726
12:26:09.980 a=2240059,b=2241522
12:26:09.980 a=2241585,b=2241522
12:26:09.980 a=2243455,b=2241585
12:26:09.980 a=2237936,b=2241585
12:26:09.980 a=2238436,b=2238436
12:26:09.980 a=2239491,b=2238436
12:26:09.980 a=2241997,b=2239491
12:26:09.980 a=2241153,b=2241153
12:26:09.980 a=2238082,b=2241153
12:26:09.980 a=2238568,b=2238568
12:26:09.980 a=2240596,b=2238568
12:26:09.980 a=2240966,b=2240596
12:26:09.980 a=2240198,b=2240596
12:26:09.980 a=2239338,b=2240198
12:26:09.980 a=2237327,b=2239338
12:26:09.980 a=2240248,b=2239338
12:26:09.981 a=2238633,b=2238633
12:26:09.981 a=2241125,b=2240248
12:26:09.981 a=2238844,b=2238844
12:26:09.981 a=2237186,b=2238844
12:26:09.981 a=2242207,b=2238844
12:26:09.981 a=2240284,b=2240284
12:26:09.981 a=2240041,b=2240284
12:26:09.981 a=2241606,b=2240284
12:26:09.981 a=2237110,b=2240041
12:26:09.981 a=2237425,b=2237425
12:26:09.981 a=2238532,b=2237425
12:26:09.981 a=2240331,b=2238532
12:26:09.981 a=2241106,b=2240331
12:26:09.981 a=2239385,b=2240331
12:26:09.981 a=2242902,b=2241106
12:26:09.981 a=2244142,b=2242902
12:26:09.981 a=2237873,b=2242902
12:26:09.981 a=2242411,b=2242411
12:26:09.982 a=2244627,b=2242411
12:26:09.982 a=2242121,b=2242411
12:26:09.982 a=2243436,b=2243436
12:26:09.982 a=2242878,b=2242878
